year,murder_rate,country_name
1995,139.13207880000002,El Salvador
1996,117.2772815,El Salvador
1997,112.56865990000001,El Salvador
1998,94.99673108,El Salvador
1999,65.04718078,El Salvador
2000,60.51851294,El Salvador
2001,60.78603283,El Salvador
2002,47.72483828,El Salvador
2003,56.19995529,El Salvador
2004,64.94161171,El Salvador
2005,64.38920404,El Salvador
2006,64.83966424,El Salvador
2007,57.48359285,El Salvador
2008,52.02689687,El Salvador
2009,71.39975455,El Salvador
2010,64.67545639,El Salvador
2011,70.58470164,El Salvador
2012,41.69582749,El Salvador
2013,40.20300196,El Salvador
2014,62.42448683,El Salvador
2015,105.44195159999998,El Salvador
2016,82.8422575,El Salvador
1995,,Honduras
1996,,Honduras
1997,,Honduras
1998,,Honduras
1999,42.08425258,Honduras
2000,48.67967867,Honduras
2001,52.11367415,Honduras
2002,52.78911731,Honduras
2003,57.90593761,Honduras
2004,50.51253076,Honduras
2005,43.56181587,Honduras
2006,41.34507544,Honduras
2007,46.54920905,Honduras
2008,56.58825774,Honduras
2009,65.71233603,Honduras
2010,76.09724144,Honduras
2011,85.06154509,Honduras
2012,84.32046196,Honduras
2013,74.27996884,Honduras
2014,66.87314739,Honduras
2015,57.45004173,Honduras
2016,56.51570309,Honduras
1995,69.67263381,Colombia
1996,71.78689966,Colombia
1997,67.18454989,Colombia
1998,60.08465495,Colombia
1999,62.29244855,Colombia
2000,65.68415896,Colombia
2001,67.92081243,Colombia
2002,68.28313463,Colombia
2003,55.80498134,Colombia
2004,47.30344278,Colombia
2005,41.84067166,Colombia
2006,39.87387273,Colombia
2007,38.75643015,Colombia
2008,35.94531181,Colombia
2009,34.82679444,Colombia
2010,33.66646488,Colombia
2011,34.75148797,Colombia
2012,35.06715606,Colombia
2013,32.56871383,Colombia
2014,27.91895055,Colombia
2015,26.50289308,Colombia
2016,25.50432615,Colombia
1995,31.68778915,Jamaica
1996,37.22825387,Jamaica
1997,41.37325733,Jamaica
1998,33.90499497,Jamaica
1999,33.38541823,Jamaica
2000,33.38522408,Jamaica
2001,42.54745311,Jamaica
2002,38.76909424,Jamaica
2003,35.94455469,Jamaica
2004,53.9069334,Jamaica
2005,60.99087214,Jamaica
2006,48.54581729,Jamaica
2007,57.07147662,Jamaica
2008,58.02613649,Jamaica
2009,60.01964279,Jamaica
2010,51.3628732,Jamaica
2011,40.04250938,Jamaica
