Country Name,Average,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
El Salvador,72.59998542,139.1320788,117.2772815,112.5686599,94.99673108,65.04718078,60.51851294,60.78603283,47.72483828,56.19995529,64.94161171,64.38920404,64.83966424,57.48359285,52.02689687,71.39975455,64.67545639,70.58470164,41.69582749,40.20300196,62.42448683,105.4419516,82.8422575
Honduras,58.80222193,,,,,42.08425258,48.67967867,52.11367415,52.78911731,57.90593761,50.51253076,43.56181587,41.34507544,46.54920905,56.58825774,65.71233603,76.09724144,85.06154509,84.32046196,74.27996884,66.87314739,57.45004173,56.51570309
Colombia,47.42003592,69.67263381,71.78689966,67.18454989,60.08465495,62.29244855,65.68415896,67.92081243,68.28313463,55.80498134,47.30344278,41.84067166,39.87387273,38.75643015,35.94531181,34.82679444,33.66646488,34.75148797,35.06715606,32.56871383,27.91895055,26.50289308,25.50432615
Jamaica,43.7807802,31.68778915,37.22825387,41.37325733,33.90499497,33.38541823,33.38522408,42.54745311,38.76909424,35.94455469,53.9069334,60.99087214,48.54581729,57.07147662,58.02613649,60.01964279,51.3628732,40.04250938,38.68367106,42.11364935,35.11423657,42.06224795,47.01105843
South Africa,41.68209287,64.91652658,60.39016743,57.11239533,57.74168141,51.21287095,47.58102283,46.14637756,45.83192428,41.60446931,38.95132577,37.95120362,38.70386262,36.88322257,35.87231954,32.89529315,30.80954508,29.76072257,30.59159749,31.66045088,32.64602136,33.7720859,33.97095703
"Venezuela, RB",39.19274307,20.33591335,22.04962584,18.39978807,19.42424157,24.98512426,32.75844749,31.90575649,37.84924061,43.8447916,36.91615808,37.2010906,44.99770331,47.50836569,51.84121599,48.9202854,45.0598909,47.84937297,53.76495162,,61.90957766,,56.33331991
Virgin Islands (U.S.),37.24747532,,,,,24.9,21.15487206,25.76133959,37.76817709,28.61045481,34.23200044,34.32504894,40.01042132,40.13402899,43.07196764,46.96202651,52.75603162,42.51580171,49.26248378,,,,
Lesotho,36.68586858,,,,,,,,,,,,,45.14986982,37.60131605,35.80610031,37.44086769,34.49334986,30.67091306,31.07642013,,41.24811176,
Guatemala,34.69789652,32.54897947,35.31962208,38.14334092,30.86778386,24.19285615,24.92544896,27.08607653,29.74072574,33.89470387,35.21939841,40.76045042,43.92771879,42.19619941,44.92243027,45.38911421,40.73704803,38.00274789,33.75667013,33.6812511,31.38745553,29.3986825,27.25501908
Belize,31.82067395,,,,,,16.57804824,25.09961409,33.18001876,24.89503214,28.61396144,28.59392044,31.64263088,32.50593987,33.64199043,30.8987064,40.11094251,37.66798707,43.06491516,28.76393525,34.97358499,33.12106166,37.59916781
Trinidad and Tobago,26.38066762,,,,,,9.463841815,11.86752385,13.38198847,17.83416871,20.14668335,29.76250141,28.46960888,29.8641981,41.58519415,38.36206831,35.61478804,26.37122899,28.32464214,30.26149492,29.90048675,30.88026398,
St. Kitts and Nevis,25.66736596,9.276222722,9.150386604,15.80064105,17.82213509,13.19290222,6.611715961,13.04631442,10.72018181,21.13896757,22.93052052,16.45718047,34.54582402,32.13948537,45.69657474,53.05978069,40.82029352,65.37707188,34.22638855,,,,
Brazil,25.05347589,,,,,,23.72957362,24.73954663,25.30378561,25.66147675,24.02267725,23.3496643,23.85354439,23.36061646,23.77719498,22.84192642,21.98822174,24.20091677,26.45280214,26.75923426,27.95657613,28.38337623,29.5279565
"Bahamas, The",23.99555597,,,,,,24.8413844,14.18509905,16.81993291,15.83551336,13.64231101,15.79351798,18.163952,22.7851651,20.93634205,24.51698717,26.05090458,34.64568648,29.83558175,31.5449051,32.18471409,37.74189712,28.40055737
Curacao,22.35113425,,,,,,,7.67595201,30.27268705,33.58823943,31.9920098,20.0936674,13.64690898,19.18847511,,,,,,,,,
St. Lucia,22.27446268,,,,,,14.65444189,21.45597738,26.28894049,22.36399893,22.80417378,25.04367372,25.99648141,17.33537373,23.04692117,22.80408369,25.49542241,26.46233145,22.30674636,18.7862917,19.27208212,,
Puerto Rico,21.35057998,23.34114433,23.25648067,19.25195006,17.22570964,15.59141962,18.30403503,19.65837585,20.57413697,20.78015076,21.10498499,20.47591769,19.91950708,19.49131408,21.81601311,24.17927983,27.36303483,31.40018948,27.15292397,24.45290687,19.01804405,16.84936936,18.50587138
St. Vincent and the Grenadines,20.7655674,18.50361283,22.21214449,8.334954019,22.24137452,12.97870565,18.53602476,11.11234582,18.49351802,16.6128288,26.71358432,23.90936511,18.36429247,36.68143094,14.65671232,21.05205349,22.86968851,19.20597031,25.61100541,,,,36.45616875
Russian Federation,20.2067235,,,,,,28.06760822,29.43527074,30.4776583,28.88549165,27.25266903,24.81301376,20.12518122,17.72754092,16.59034894,14.93506677,,,,10.97723125,11.31040911,11.4804567,10.8161824
Central African Republic,19.75737596,,,,,,,,,,,,,,,,,,,,,,19.75737596
Dominican Republic,18.84055057,12.7205747,12.81228708,12.6730333,13.46598308,12.60320798,14.13118552,12.59036606,14.48096387,21.20930979,24.59629234,25.91591768,22.87826989,22.21087537,24.84299311,24.31468921,24.99498635,25.06209426,22.33393567,19.2388197,17.39407202,,15.1817049
Namibia,18.4948145,22.5875525,20.75280354,18.66574727,22.57876076,20.4750426,20.00782411,18.25614037,17.63374508,,17.51916657,,,,16.80612427,18.15595403,14.44893865,13.90129449,17.1383088,,,,
Guyana,17.0768499,14.97295938,12.07149618,11.92200542,15.46974638,12.44025941,10.0889286,10.6345786,19.01889121,27.79783922,17.42827798,18.90948217,20.41085858,15.37702459,21.17071367,15.69010303,18.75277943,17.35415832,18.45726479,20.44636391,19.518125,19.3880658,18.37077608
Eswatini,14.96858655,,,,,,,18.82700314,12.95181002,13.24269445,13.33268801,13.7447971,10.79861564,14.93279364,18.72470116,15.83839753,17.29236484,,,,,,
Paraguay,14.95112156,,,,16.70553566,12.11399769,18.76402587,24.30352101,24.90646009,22.91389902,21.19661836,15.30499385,12.61304999,13.12402167,13.7751593,13.39787596,11.9326035,10.43887277,10.17365919,9.341544819,8.820947583,9.29340173,
Botswana,14.61433541,,,,,,,12.13720166,14.32622097,17.29165085,14.15818906,15.68012967,13.85175333,14.62588552,14.43727262,14.59682951,15.0382209,,,,,,
Greenland,14.54955289,,,,,,23.14196707,30.18090791,21.23217382,8.817098117,19.34542129,17.55895419,14.04223201,14.05308553,14.07434774,17.62797913,19.42158975,1.768284057,14.16681424,12.40826745,7.094462772,7.09509197,5.313722156
Mexico,14.298695,16.91940488,15.45413535,14.19929696,14.07806997,12.43380489,10.55548026,9.978939151,9.666945738,9.548425545,8.719051514,9.146119871,9.493845251,7.928549454,12.32252075,17.14467851,21.95468164,22.85078186,21.49082499,18.82141235,16.10830967,16.49205139,19.2639601
"Congo, Dem. Rep.",14.13274023,,,,,,14.05687,,,,,14.64962477,,,,,14.27807775,,,,,13.5463884,
South Sudan,13.90242311,,,,,,,,,,,,,,,,,,13.90242311,,,,
Ecuador,13.8715938,,,,,,14.51467764,12.89995802,14.58071643,14.57530591,17.6910618,15.44203873,17.07537795,16.00089768,18.04456697,17.86774803,17.56313656,15.44406123,12.47108725,11.01423761,8.243669541,6.53478662,5.853766682
Cote d'Ivoire,13.75797248,,,,,,16.06773427,,,,,14.70498526,,,,,12.62864609,,,,,11.63052429,
Small states,13.46666667,,,,,,,,,,,,,,,,,,14.4,,13,13,
Mali,12.1628995,,,,,,12.88392351,,,,,12.68457332,,,,,12.17992521,,,,,10.90317598,
Suriname,11.95952111,,,,,,14.39488558,16.53619123,11.80016727,12.28672297,9.318720499,13.82915185,12.29409863,8.828636172,8.34711578,,,,,,,,
Nicaragua,11.91451781,15.24679537,13.98641585,14.07312512,13.00925958,11.23183836,9.469252383,10.52786355,10.71207452,12.11628813,12.16640554,13.5518786,13.24719355,12.92984959,13.15576389,14.15315514,13.68138546,12.70700538,11.45121036,9.990334268,8.729635216,8.615537398,7.367124637
Kazakhstan,11.87414031,15.36495408,16.70639713,16.66808097,16.58020742,15.74022972,15.44095072,14.36172982,13.02162205,13.07088708,13.59035107,,,,11.29291997,10.94279636,8.457845173,8.529870766,7.481748169,6.508881689,5.169324246,4.805729105,
Panama,11.73274746,14.08331795,9.078539248,11.30155122,9.882965987,9.828819893,9.866856832,9.90392545,11.93929377,10.50114453,9.420282541,10.92940475,6.515512669,8.078042577,14.02054678,15.70102126,12.62618638,14.80669576,16.88339432,17.27254301,14.5492325,11.26157618,9.669590586
Mauritania,11.72461445,,,,,,13.70114061,,,,,12.38683845,,,,,10.86879296,,,,,9.941685762,
Seychelles,11.72449543,,,,,,,,,,11.43066161,,10.03803299,8.861222184,6.616236244,15.37886943,9.846288496,17.42274103,4.334398873,19.40386999,17.15744097,7.467303877,12.73687942
Nigeria,11.28514962,,,,,,12.75393904,,,,,11.82059814,,,,,10.71771146,,,,,9.848349858,
Guinea-Bissau,11.17993792,,,,,,13.01831243,,,,,11.67776955,,,,,10.47381381,,,,,9.549855882,
Dominica,10.47442012,,,,,,2.870428842,1.435338022,12.88955087,11.4134079,11.3670271,11.32711286,7.061448727,9.866102889,9.848889889,18.25099328,20.99664054,8.366100561,,,,,
"Congo, Rep.",10.29105606,,,,,,11.334709,,,,,10.63963123,,,,,9.867432595,,,,,9.32245141,
"Gambia, The",10.28744131,,,,,,12.39063954,,,,,9.814453786,,,,,9.816164105,,,,,9.128507795,
Chad,10.20524914,,,,,,11.37777085,,,,,10.71924482,,,,,9.683680595,,,,,9.040300293,
Togo,9.945145144,,,,,,10.50553985,,,,,10.67104429,,,,,9.604078674,,,,,8.999917767,
Iraq,9.910586628,,,,,,,,,,,,,,15.78762037,8.543334105,8.747606395,8.302063227,8.228438539,9.854457135,,,
Guinea,9.794214038,,,,,,10.8573085,,,,,10.05225044,,,,,9.442717111,,,,,8.824580102,
